team_1,team_2,location,result,date,team_1_score,team_2_score
San Jose Sharks,Anaheim Ducks,home,L,2018-10-03,2,5
Toronto Maple Leafs,Montreal Canadiens,home,W,2018-10-03,3,2
Vancouver Canucks,Calgary Flames,home,W,2018-10-03,5,2
Washington Capitals,Boston Bruins,home,W,2018-10-03,7,0
Buffalo Sabres,Boston Bruins,home,L,2018-10-04,0,4
Carolina Hurricanes,New York Islanders,home,L,2018-10-04,1,2
Colorado Avalanche,Minnesota Wild,home,W,2018-10-04,4,1
Dallas Stars,Arizona Coyotes,home,W,2018-10-04,3,0
Detroit Red Wings,Columbus Blue Jackets,home,L,2018-10-04,2,3
New York Rangers,Nashville Predators,home,L,2018-10-04,2,3
Ottawa Senators,Chicago Blackhawks,home,L,2018-10-04,3,4
Pittsburgh Penguins,Washington Capitals,home,W,2018-10-04,7,6
St Louis Blues,Winnipeg Jets,home,L,2018-10-04,1,5
Vegas Golden Knights,Philadelphia Flyers,home,L,2018-10-04,2,5
Columbus Blue Jackets,Carolina Hurricanes,home,L,2018-10-05,1,3
Los Angeles Kings,San Jose Sharks,home,L,2018-10-05,2,3
Arizona Coyotes,Anaheim Ducks,home,L,2018-10-06,0,1
Buffalo Sabres,New York Rangers,home,W,2018-10-06,3,1
Calgary Flames,Vancouver Canucks,home,W,2018-10-06,7,4
Colorado Avalanche,Philadelphia Flyers,home,W,2018-10-06,5,2
Dallas Stars,Winnipeg Jets,home,W,2018-10-06,5,1
Minnesota Wild,Vegas Golden Knights,home,L,2018-10-06,1,2
New Jersey Devils,Edmonton Oilers,home,W,2018-10-06,5,2
New York Islanders,Nashville Predators,home,L,2018-10-06,3,4
Pittsburgh Penguins,Montreal Canadiens,home,L,2018-10-06,1,5
St Louis Blues,Chicago Blackhawks,home,L,2018-10-06,4,5
Tampa Bay Lightning,Florida Panthers,home,W,2018-10-06,2,1
Toronto Maple Leafs,Ottawa Senators,home,L,2018-10-06,3,5
Carolina Hurricanes,New York Rangers,home,W,2018-10-07,8,5
Chicago Blackhawks,Toronto Maple Leafs,home,L,2018-10-07,6,7
Los Angeles Kings,Detroit Red Wings,home,W,2018-10-07,4,2
Anaheim Ducks,Detroit Red Wings,home,W,2018-10-08,3,2
Boston Bruins,Ottawa Senators,home,W,2018-10-08,6,3
Buffalo Sabres,Vegas Golden Knights,home,W,2018-10-08,4,2
New York Islanders,San Jose Sharks,home,W,2018-10-08,4,0
Carolina Hurricanes,Vancouver Canucks,home,W,2018-10-09,5,3
Columbus Blue Jackets,Colorado Avalanche,home,W,2018-10-09,5,2
Dallas Stars,Toronto Maple Leafs,home,L,2018-10-09,4,7
Nashville Predators,Calgary Flames,home,L,2018-10-09,0,3
Philadelphia Flyers,San Jose Sharks,home,L,2018-10-09,2,8
Winnipeg Jets,Los Angeles Kings,home,W,2018-10-09,2,1
Anaheim Ducks,Arizona Coyotes,home,L,2018-10-10,2,3
Ottawa Senators,Philadelphia Flyers,home,L,2018-10-10,4,7
Washington Capitals,Vegas Golden Knights,home,W,2018-10-10,5,2
Boston Bruins,Edmonton Oilers,home,W,2018-10-11,4,1
Buffalo Sabres,Colorado Avalanche,home,L,2018-10-11,1,6
Detroit Red Wings,Toronto Maple Leafs,home,L,2018-10-11,3,5
Florida Panthers,Columbus Blue Jackets,home,L,2018-10-11,4,5
Minnesota Wild,Chicago Blackhawks,home,W,2018-10-11,4,3
Montreal Canadiens,Los Angeles Kings,home,L,2018-10-11,0,3
New Jersey Devils,Washington Capitals,home,W,2018-10-11,6,0
Nashville Predators,Winnipeg Jets,home,W,2018-10-11,3,0
New York Rangers,San Jose Sharks,home,W,2018-10-11,3,2
Pittsburgh Penguins,Vegas Golden Knights,home,W,2018-10-11,4,2
St Louis Blues,Calgary Flames,home,W,2018-10-11,5,3
Tampa Bay Lightning,Vancouver Canucks,home,L,2018-10-11,1,4
Arizona Coyotes,Buffalo Sabres,home,L,2018-10-13,0,3
Boston Bruins,Detroit Red Wings,home,W,2018-10-13,8,2
Chicago Blackhawks,St Louis Blues,home,W,2018-10-13,4,3
Colorado Avalanche,Calgary Flames,home,L,2018-10-13,2,3
Dallas Stars,Anaheim Ducks,home,W,2018-10-13,5,3
Florida Panthers,Vancouver Canucks,home,L,2018-10-13,2,3
Minnesota Wild,Carolina Hurricanes,home,L,2018-10-13,4,5
Montreal Canadiens,Pittsburgh Penguins,home,W,2018-10-13,4,3
Nashville Predators,New York Islanders,home,W,2018-10-13,5,2
New York Rangers,Edmonton Oilers,home,L,2018-10-13,1,2
Ottawa Senators,Los Angeles Kings,home,W,2018-10-13,5,1
Philadelphia Flyers,Vegas Golden Knights,home,L,2018-10-13,0,1
Tampa Bay Lightning,Columbus Blue Jackets,home,W,2018-10-13,8,2
Washington Capitals,Toronto Maple Leafs,home,L,2018-10-13,2,4
New Jersey Devils,San Jose Sharks,home,W,2018-10-14,3,2
St Louis Blues,Anaheim Ducks,home,L,2018-10-14,2,3
Winnipeg Jets,Carolina Hurricanes,home,W,2018-10-14,3,1
Montreal Canadiens,Detroit Red Wings,home,W,2018-10-15,7,3
Nashville Predators,Minnesota Wild,home,W,2018-10-15,4,2
Ottawa Senators,Dallas Stars,home,W,2018-10-15,4,1
Toronto Maple Leafs,Los Angeles Kings,home,W,2018-10-15,4,1
Minnesota Wild,Arizona Coyotes,home,W,2018-10-16,2,1
New Jersey Devils,Dallas Stars,home,W,2018-10-16,3,0
New York Rangers,Colorado Avalanche,home,W,2018-10-16,3,2
Philadelphia Flyers,Florida Panthers,home,W,2018-10-16,6,5
Pittsburgh Penguins,Vancouver Canucks,home,L,2018-10-16,2,3
Tampa Bay Lightning,Carolina Hurricanes,home,W,2018-10-16,4,2
Vegas Golden Knights,Buffalo Sabres,home,W,2018-10-16,4,1
Winnipeg Jets,Edmonton Oilers,home,L,2018-10-16,4,5
Anaheim Ducks,New York Islanders,home,W,2018-10-17,4,1
Calgary Flames,Boston Bruins,home,W,2018-10-17,5,2
Montreal Canadiens,St Louis Blues,home,W,2018-10-17,3,2
Washington Capitals,New York Rangers,home,W,2018-10-17,4,3
Columbus Blue Jackets,Philadelphia Flyers,home,W,2018-10-18,6,3
Chicago Blackhawks,Arizona Coyotes,home,L,2018-10-18,1,4
Edmonton Oilers,Boston Bruins,home,W,2018-10-18,3,2
Los Angeles Kings,New York Islanders,home,L,2018-10-18,2,7
New Jersey Devils,Colorado Avalanche,home,L,2018-10-18,3,5
San Jose Sharks,Buffalo Sabres,home,W,2018-10-18,5,1
Tampa Bay Lightning,Detroit Red Wings,home,W,2018-10-18,3,1
Toronto Maple Leafs,Pittsburgh Penguins,home,L,2018-10-18,0,3
Winnipeg Jets,Vancouver Canucks,home,W,2018-10-18,4,1
Calgary Flames,Nashville Predators,home,L,2018-10-19,3,5
Dallas Stars,Minnesota Wild,home,L,2018-10-19,1,3
Washington Capitals,Florida Panthers,home,L,2018-10-19,5,6
Carolina Hurricanes,Colorado Avalanche,home,L,2018-10-20,1,3
Columbus Blue Jackets,Chicago Blackhawks,home,L,2018-10-20,1,4
Edmonton Oilers,Nashville Predators,home,L,2018-10-20,0,3
Florida Panthers,Detroit Red Wings,home,L,2018-10-20,3,4
Los Angeles Kings,Buffalo Sabres,home,L,2018-10-20,1,5
Minnesota Wild,Tampa Bay Lightning,home,W,2018-10-20,5,4
Ottawa Senators,Montreal Canadiens,home,W,2018-10-20,4,3
Philadelphia Flyers,New Jersey Devils,home,W,2018-10-20,5,2
San Jose Sharks,New York Islanders,home,W,2018-10-20,4,1
Toronto Maple Leafs,St Louis Blues,home,L,2018-10-20,1,4
Vancouver Canucks,Boston Bruins,home,W,2018-10-20,2,1
Vegas Golden Knights,Anaheim Ducks,home,W,2018-10-20,3,1
Winnipeg Jets,Arizona Coyotes,home,W,2018-10-20,5,3
Anaheim Ducks,Buffalo Sabres,home,L,2018-10-21,2,4
Chicago Blackhawks,Tampa Bay Lightning,home,L,2018-10-21,3,6
New York Rangers,Calgary Flames,home,L,2018-10-21,1,4
Detroit Red Wings,Carolina Hurricanes,home,L,2018-10-22,1,3
Philadelphia Flyers,Colorado Avalanche,home,L,2018-10-22,1,4
Vancouver Canucks,Washington Capitals,home,L,2018-10-22,2,5
Winnipeg Jets,St Louis Blues,home,W,2018-10-22,5,4
Columbus Blue Jackets,Arizona Coyotes,home,L,2018-10-23,1,4
Chicago Blackhawks,Anaheim Ducks,home,W,2018-10-23,3,1
Dallas Stars,Los Angeles Kings,home,W,2018-10-23,4,2
Edmonton Oilers,Pittsburgh Penguins,home,L,2018-10-23,5,6
Montreal Canadiens,Calgary Flames,home,W,2018-10-23,3,2
Nashville Predators,San Jose Sharks,home,L,2018-10-23,4,5
New York Rangers,Florida Panthers,home,W,2018-10-23,5,2
Ottawa Senators,Boston Bruins,home,L,2018-10-23,1,4
Colorado Avalanche,Tampa Bay Lightning,home,L,2018-10-24,0,1
New York Islanders,Florida Panthers,home,L,2018-10-24,2,3
Vegas Golden Knights,Vancouver Canucks,home,L,2018-10-24,2,3
Winnipeg Jets,Toronto Maple Leafs,home,L,2018-10-24,2,4
Arizona Coyotes,Vancouver Canucks,home,W,2018-10-25,4,1
Boston Bruins,Philadelphia Flyers,home,W,2018-10-25,3,0
Buffalo Sabres,Montreal Canadiens,home,W,2018-10-25,4,3
Calgary Flames,Pittsburgh Penguins,home,L,2018-10-25,1,9
Chicago Blackhawks,New York Rangers,home,W,2018-10-25,4,1
Dallas Stars,Anaheim Ducks,home,W,2018-10-25,5,2
Edmonton Oilers,Washington Capitals,home,W,2018-10-25,4,1
Minnesota Wild,Los Angeles Kings,home,W,2018-10-25,4,1
New Jersey Devils,Nashville Predators,home,L,2018-10-25,3,4
St Louis Blues,Columbus Blue Jackets,home,L,2018-10-25,4,7
Carolina Hurricanes,San Jose Sharks,home,W,2018-10-26,4,3
Colorado Avalanche,Ottawa Senators,home,W,2018-10-26,6,3
Detroit Red Wings,Winnipeg Jets,home,L,2018-10-26,1,2
Vegas Golden Knights,Tampa Bay Lightning,home,L,2018-10-26,2,3
Arizona Coyotes,Tampa Bay Lightning,home,W,2018-10-27,7,1
Boston Bruins,Montreal Canadiens,home,L,2018-10-27,0,3
Columbus Blue Jackets,Buffalo Sabres,home,W,2018-10-27,5,4
Calgary Flames,Washington Capitals,home,L,2018-10-27,3,4
Minnesota Wild,Colorado Avalanche,home,W,2018-10-27,3,2
New Jersey Devils,Florida Panthers,home,W,2018-10-27,3,2
Nashville Predators,Edmonton Oilers,home,L,2018-10-27,3,5
Philadelphia Flyers,New York Islanders,home,L,2018-10-27,1,6
St Louis Blues,Chicago Blackhawks,home,W,2018-10-27,7,3
Toronto Maple Leafs,Winnipeg Jets,home,W,2018-10-27,3,2
Vancouver Canucks,Pittsburgh Penguins,home,L,2018-10-27,0,5
Anaheim Ducks,San Jose Sharks,home,L,2018-10-28,3,4
Carolina Hurricanes,New York Islanders,home,L,2018-10-28,1,2
Chicago Blackhawks,Edmonton Oilers,home,L,2018-10-28,1,2
Detroit Red Wings,Dallas Stars,home,W,2018-10-28,4,2
Los Angeles Kings,New York Rangers,home,W,2018-10-28,4,3
Vegas Golden Knights,Ottawa Senators,home,W,2018-10-28,4,3
Toronto Maple Leafs,Calgary Flames,home,L,2018-10-29,1,3
Vancouver Canucks,Minnesota Wild,home,W,2018-10-29,5,2
Anaheim Ducks,Philadelphia Flyers,home,L,2018-10-30,2,3
Arizona Coyotes,Ottawa Senators,home,W,2018-10-30,5,1
Buffalo Sabres,Calgary Flames,home,L,2018-10-30,1,2
Carolina Hurricanes,Boston Bruins,home,L,2018-10-30,2,3
Columbus Blue Jackets,Detroit Red Wings,home,L,2018-10-30,3,5
Edmonton Oilers,Minnesota Wild,home,L,2018-10-30,3,4
Montreal Canadiens,Dallas Stars,home,L,2018-10-30,1,4
Nashville Predators,Vegas Golden Knights,home,W,2018-10-30,4,1
Pittsburgh Penguins,New York Islanders,home,L,2018-10-30,3,6
San Jose Sharks,New York Rangers,home,L,2018-10-30,3,4
Tampa Bay Lightning,New Jersey Devils,home,W,2018-10-30,8,3
Vancouver Canucks,Chicago Blackhawks,home,W,2018-10-31,4,2
Anaheim Ducks,New York Rangers,home,L,2018-11-01,2,3
Calgary Flames,Colorado Avalanche,home,W,2018-11-01,6,5
Detroit Red Wings,New Jersey Devils,home,W,2018-11-01,4,3
Edmonton Oilers,Chicago Blackhawks,home,W,2018-11-01,4,0
Florida Panthers,Winnipeg Jets,home,L,2018-11-01,2,4
Los Angeles Kings,Philadelphia Flyers,home,L,2018-11-01,2,5
Montreal Canadiens,Washington Capitals,home,W,2018-11-01,6,4
New York Islanders,Pittsburgh Penguins,home,W,2018-11-01,3,2
Ottawa Senators,Buffalo Sabres,home,W,2018-11-01,4,2
San Jose Sharks,Columbus Blue Jackets,home,L,2018-11-01,1,4
St Louis Blues,Vegas Golden Knights,home,W,2018-11-01,5,3
Tampa Bay Lightning,Nashville Predators,home,L,2018-11-01,1,4
Toronto Maple Leafs,Dallas Stars,home,L,2018-11-01,1,2
Arizona Coyotes,Carolina Hurricanes,home,W,2018-11-02,4,3
Vancouver Canucks,Colorado Avalanche,home,W,2018-11-02,7,6
Winnipeg Jets,Florida Panthers,home,L,2018-11-02,2,4
Buffalo Sabres,Ottawa Senators,home,W,2018-11-03,9,2
Calgary Flames,Chicago Blackhawks,home,W,2018-11-03,5,3
Detroit Red Wings,Edmonton Oilers,home,L,2018-11-03,3,4
Los Angeles Kings,Columbus Blue Jackets,home,W,2018-11-03,4,1
Montreal Canadiens,Tampa Bay Lightning,home,L,2018-11-03,1,4
Nashville Predators,Boston Bruins,home,W,2018-11-03,1,0
New York Islanders,New Jersey Devils,home,W,2018-11-03,3,0
Pittsburgh Penguins,Toronto Maple Leafs,home,L,2018-11-03,0,5
San Jose Sharks,Philadelphia Flyers,home,W,2018-11-03,4,3
St Louis Blues,Minnesota Wild,home,L,2018-11-03,1,5
Vegas Golden Knights,Carolina Hurricanes,home,W,2018-11-03,3,0
Washington Capitals,Dallas Stars,home,L,2018-11-03,3,4
Anaheim Ducks,Columbus Blue Jackets,home,W,2018-11-04,3,2
New York Rangers,Buffalo Sabres,home,W,2018-11-04,3,1
Ottawa Senators,Tampa Bay Lightning,home,L,2018-11-04,3,4
Arizona Coyotes,Philadelphia Flyers,home,L,2018-11-05,2,5
Boston Bruins,Dallas Stars,home,W,2018-11-05,2,1
New York Islanders,Montreal Canadiens,home,L,2018-11-05,3,4
Pittsburgh Penguins,New Jersey Devils,home,L,2018-11-05,1,5
Washington Capitals,Edmonton Oilers,home,W,2018-11-05,4,2
Columbus Blue Jackets,Dallas Stars,home,W,2018-11-06,4,1
Detroit Red Wings,Vancouver Canucks,home,W,2018-11-06,3,2
Los Angeles Kings,Anaheim Ducks,home,W,2018-11-06,4,1
New York Rangers,Montreal Canadiens,home,W,2018-11-06,5,3
Ottawa Senators,New Jersey Devils,home,W,2018-11-06,7,3
San Jose Sharks,Minnesota Wild,home,W,2018-11-06,4,3
St Louis Blues,Carolina Hurricanes,home,W,2018-11-06,4,1
Tampa Bay Lightning,Edmonton Oilers,home,W,2018-11-06,5,2
Toronto Maple Leafs,Vegas Golden Knights,home,W,2018-11-06,3,1
Anaheim Ducks,Calgary Flames,home,W,2018-11-07,3,2
Colorado Avalanche,Nashville Predators,home,L,2018-11-07,1,4
Washington Capitals,Pittsburgh Penguins,home,W,2018-11-07,2,1
Boston Bruins,Vancouver Canucks,home,L,2018-11-08,5,8
Chicago Blackhawks,Carolina Hurricanes,home,L,2018-11-08,3,4
Dallas Stars,San Jose Sharks,home,W,2018-11-08,4,3
Florida Panthers,Edmonton Oilers,home,W,2018-11-08,4,1
Los Angeles Kings,Minnesota Wild,home,L,2018-11-08,1,3
Montreal Canadiens,Buffalo Sabres,home,L,2018-11-08,5,6
Ottawa Senators,Vegas Golden Knights,home,L,2018-11-08,3,5
Philadelphia Flyers,Arizona Coyotes,home,W,2018-11-08,5,4
Tampa Bay Lightning,New York Islanders,home,W,2018-11-08,4,2
Anaheim Ducks,Minnesota Wild,home,L,2018-11-09,1,5
Detroit Red Wings,New York Rangers,home,W,2018-11-09,3,2
St Louis Blues,San Jose Sharks,home,W,2018-11-09,4,0
Toronto Maple Leafs,New Jersey Devils,home,W,2018-11-09,6,1
Winnipeg Jets,Colorado Avalanche,home,W,2018-11-09,5,2
Washington Capitals,Columbus Blue Jackets,home,L,2018-11-09,1,2
Boston Bruins,Toronto Maple Leafs,home,W,2018-11-10,5,1
Buffalo Sabres,Vancouver Canucks,home,W,2018-11-10,4,3
Carolina Hurricanes,Detroit Red Wings,home,L,2018-11-10,3,4
Columbus Blue Jackets,New York Rangers,home,L,2018-11-10,4,5
Dallas Stars,Nashville Predators,home,L,2018-11-10,4,5
Florida Panthers,New York Islanders,home,W,2018-11-10,4,2
Los Angeles Kings,Calgary Flames,home,L,2018-11-10,0,1
Montreal Canadiens,Vegas Golden Knights,home,W,2018-11-10,5,4
Philadelphia Flyers,Chicago Blackhawks,home,W,2018-11-10,4,0
Pittsburgh Penguins,Arizona Coyotes,home,W,2018-11-10,4,0
Tampa Bay Lightning,Ottawa Senators,home,L,2018-11-10,4,6
Boston Bruins,Vegas Golden Knights,home,W,2018-11-11,4,1
Edmonton Oilers,Colorado Avalanche,home,L,2018-11-11,1,4
Florida Panthers,Ottawa Senators,home,W,2018-11-11,5,1
San Jose Sharks,Calgary Flames,home,W,2018-11-11,3,1
St Louis Blues,Minnesota Wild,home,L,2018-11-11,2,3
Winnipeg Jets,New Jersey Devils,home,W,2018-11-11,5,2
Washington Capitals,Arizona Coyotes,home,L,2018-11-11,1,4
Anaheim Ducks,Nashville Predators,home,W,2018-11-12,2,1
Carolina Hurricanes,Chicago Blackhawks,home,W,2018-11-12,3,2
Dallas Stars,Columbus Blue Jackets,home,L,2018-11-12,1,2
New York Rangers,Vancouver Canucks,home,W,2018-11-12,2,1
Buffalo Sabres,Tampa Bay Lightning,home,W,2018-11-13,2,1
Detroit Red Wings,Arizona Coyotes,home,W,2018-11-13,6,1
Edmonton Oilers,Montreal Canadiens,home,W,2018-11-13,6,2
Los Angeles Kings,Toronto Maple Leafs,home,L,2018-11-13,1,5
Minnesota Wild,Washington Capitals,home,L,2018-11-13,2,5
New Jersey Devils,Pittsburgh Penguins,home,W,2018-11-13,4,2
New York Islanders,Vancouver Canucks,home,W,2018-11-13,5,2
Philadelphia Flyers,Florida Panthers,home,L,2018-11-13,1,2
San Jose Sharks,Nashville Predators,home,W,2018-11-13,5,4
Chicago Blackhawks,St Louis Blues,home,W,2018-11-14,1,0
Colorado Avalanche,Boston Bruins,home,W,2018-11-14,6,3
Vegas Golden Knights,Anaheim Ducks,home,W,2018-11-14,5,0
Winnipeg Jets,Washington Capitals,home,W,2018-11-14,3,1
Arizona Coyotes,Nashville Predators,home,W,2018-11-15,2,1
Columbus Blue Jackets,Florida Panthers,home,W,2018-11-15,7,3
Calgary Flames,Montreal Canadiens,home,L,2018-11-15,2,3
Minnesota Wild,Vancouver Canucks,home,W,2018-11-15,6,2
New York Islanders,New York Rangers,home,W,2018-11-15,7,5
Ottawa Senators,Detroit Red Wings,home,W,2018-11-15,2,1
Philadelphia Flyers,New Jersey Devils,home,L,2018-11-15,0,3
Pittsburgh Penguins,Tampa Bay Lightning,home,L,2018-11-15,3,4
San Jose Sharks,Toronto Maple Leafs,home,L,2018-11-15,3,5
Anaheim Ducks,Toronto Maple Leafs,home,L,2018-11-16,1,2
Chicago Blackhawks,Los Angeles Kings,home,L,2018-11-16,1,2
Colorado Avalanche,Washington Capitals,home,L,2018-11-16,2,3
Dallas Stars,Boston Bruins,home,W,2018-11-16,1,0
Vegas Golden Knights,St Louis Blues,home,L,2018-11-16,1,4
Winnipeg Jets,Buffalo Sabres,home,L,2018-11-16,1,2
Arizona Coyotes,Boston Bruins,home,L,2018-11-17,1,2
Carolina Hurricanes,Columbus Blue Jackets,home,L,2018-11-17,1,4
Calgary Flames,Edmonton Oilers,home,W,2018-11-17,4,2
Minnesota Wild,Buffalo Sabres,home,L,2018-11-17,2,3
New Jersey Devils,Detroit Red Wings,home,L,2018-11-17,2,3
Nashville Predators,Los Angeles Kings,home,W,2018-11-17,5,3
New York Rangers,Florida Panthers,home,W,2018-11-17,4,2
Ottawa Senators,Pittsburgh Penguins,home,W,2018-11-17,6,4
Philadelphia Flyers,Tampa Bay Lightning,home,L,2018-11-17,5,6
San Jose Sharks,St Louis Blues,home,W,2018-11-17,4,0
Vancouver Canucks,Montreal Canadiens,home,L,2018-11-17,2,3
Anaheim Ducks,Colorado Avalanche,home,L,2018-11-18,3,4
Carolina Hurricanes,New Jersey Devils,home,W,2018-11-18,2,1
Chicago Blackhawks,Minnesota Wild,home,W,2018-11-18,3,1
Edmonton Oilers,Vegas Golden Knights,home,L,2018-11-18,3,6
New York Islanders,Dallas Stars,home,L,2018-11-18,2,6
Calgary Flames,Vegas Golden Knights,home,W,2018-11-19,7,2
Montreal Canadiens,Washington Capitals,home,L,2018-11-19,4,5
Nashville Predators,Tampa Bay Lightning,home,W,2018-11-19,3,2
New York Rangers,Dallas Stars,home,W,2018-11-19,2,1
Ottawa Senators,Florida Panthers,home,L,2018-11-19,5,7
Pittsburgh Penguins,Buffalo Sabres,home,L,2018-11-19,4,5
St Louis Blues,Los Angeles Kings,home,L,2018-11-19,0,2
Toronto Maple Leafs,Columbus Blue Jackets,home,W,2018-11-19,4,2
Vancouver Canucks,Winnipeg Jets,home,L,2018-11-19,3,6
San Jose Sharks,Edmonton Oilers,home,L,2018-11-20,3,4
Anaheim Ducks,Vancouver Canucks,home,W,2018-11-21,4,3
Arizona Coyotes,Vegas Golden Knights,home,L,2018-11-21,2,3
Buffalo Sabres,Philadelphia Flyers,home,W,2018-11-21,5,2
Carolina Hurricanes,Toronto Maple Leafs,home,W,2018-11-21,5,2
Calgary Flames,Winnipeg Jets,home,W,2018-11-21,6,3
Detroit Red Wings,Boston Bruins,home,W,2018-11-21,3,2
Los Angeles Kings,Colorado Avalanche,home,L,2018-11-21,3,7
Minnesota Wild,Ottawa Senators,home,W,2018-11-21,6,4
New Jersey Devils,Montreal Canadiens,home,W,2018-11-21,5,2
Nashville Predators,St Louis Blues,home,W,2018-11-21,4,1
New York Rangers,New York Islanders,home,W,2018-11-21,5,0
Pittsburgh Penguins,Dallas Stars,home,W,2018-11-21,5,1
Tampa Bay Lightning,Florida Panthers,home,W,2018-11-21,7,3
Washington Capitals,Chicago Blackhawks,home,W,2018-11-21,4,2
Anaheim Ducks,Edmonton Oilers,home,W,2018-11-23,2,1
Arizona Coyotes,Colorado Avalanche,home,L,2018-11-23,1,5
Boston Bruins,Pittsburgh Penguins,home,W,2018-11-23,2,1
Buffalo Sabres,Montreal Canadiens,home,W,2018-11-23,3,2
Carolina Hurricanes,Florida Panthers,home,W,2018-11-23,4,1
Columbus Blue Jackets,Toronto Maple Leafs,home,W,2018-11-23,4,2
Dallas Stars,Ottawa Senators,home,W,2018-11-23,6,4
Minnesota Wild,Winnipeg Jets,home,W,2018-11-23,4,2
New Jersey Devils,New York Islanders,home,L,2018-11-23,3,4
Philadelphia Flyers,New York Rangers,home,W,2018-11-23,4,0
San Jose Sharks,Vancouver Canucks,home,W,2018-11-23,4,0
St Louis Blues,Nashville Predators,home,W,2018-11-23,6,2
Tampa Bay Lightning,Chicago Blackhawks,home,W,2018-11-23,4,2
Vegas Golden Knights,Calgary Flames,home,W,2018-11-23,2,0
Washington Capitals,Detroit Red Wings,home,W,2018-11-23,3,1
Colorado Avalanche,Dallas Stars,home,W,2018-11-24,3,2
Detroit Red Wings,Buffalo Sabres,home,L,2018-11-24,2,3
Florida Panthers,Chicago Blackhawks,home,L,2018-11-24,4,5
Los Angeles Kings,Vancouver Canucks,home,L,2018-11-24,2,4
Montreal Canadiens,Boston Bruins,home,L,2018-11-24,2,3
New York Islanders,Carolina Hurricanes,home,W,2018-11-24,4,1
New York Rangers,Washington Capitals,home,L,2018-11-24,3,5
Pittsburgh Penguins,Columbus Blue Jackets,home,W,2018-11-24,4,2
St Louis Blues,Winnipeg Jets,home,L,2018-11-24,4,8
Toronto Maple Leafs,Philadelphia Flyers,home,W,2018-11-24,6,0
Vegas Golden Knights,San Jose Sharks,home,W,2018-11-24,6,0
Arizona Coyotes,Calgary Flames,home,L,2018-11-25,1,6
Los Angeles Kings,Edmonton Oilers,home,W,2018-11-25,5,2
Nashville Predators,Anaheim Ducks,home,W,2018-11-25,5,2
Tampa Bay Lightning,New Jersey Devils,home,W,2018-11-25,5,2
Detroit Red Wings,Columbus Blue Jackets,home,L,2018-11-26,5,7
Florida Panthers,New Jersey Devils,home,W,2018-11-26,4,3
New York Islanders,Washington Capitals,home,L,2018-11-26,1,4
New York Rangers,Ottawa Senators,home,W,2018-11-26,4,2
Toronto Maple Leafs,Boston Bruins,home,W,2018-11-26,4,2
Buffalo Sabres,San Jose Sharks,home,W,2018-11-27,3,2
Chicago Blackhawks,Vegas Golden Knights,home,L,2018-11-27,3,8
Edmonton Oilers,Dallas Stars,home,W,2018-11-27,1,0
Minnesota Wild,Arizona Coyotes,home,L,2018-11-27,3,4
Montreal Canadiens,Carolina Hurricanes,home,L,2018-11-27,1,2
Nashville Predators,Colorado Avalanche,home,L,2018-11-27,2,3
Philadelphia Flyers,Ottawa Senators,home,L,2018-11-27,3,4
Tampa Bay Lightning,Anaheim Ducks,home,L,2018-11-27,1,3
Vancouver Canucks,Los Angeles Kings,home,L,2018-11-27,1,2
Winnipeg Jets,Pittsburgh Penguins,home,L,2018-11-27,3,4
Calgary Flames,Dallas Stars,home,L,2018-11-28,3,4
Colorado Avalanche,Pittsburgh Penguins,home,W,2018-11-28,6,3
Detroit Red Wings,St Louis Blues,home,W,2018-11-28,4,3
Florida Panthers,Anaheim Ducks,home,L,2018-11-28,2,3
Toronto Maple Leafs,San Jose Sharks,home,W,2018-11-28,5,3
Boston Bruins,New York Islanders,home,W,2018-11-29,2,1
Columbus Blue Jackets,Minnesota Wild,home,W,2018-11-29,4,2
Edmonton Oilers,Los Angeles Kings,home,W,2018-11-29,3,2
Nashville Predators,Arizona Coyotes,home,L,2018-11-29,0,3
Ottawa Senators,New York Rangers,home,W,2018-11-29,3,0
Tampa Bay Lightning,Buffalo Sabres,home,W,2018-11-29,5,4
Vancouver Canucks,Vegas Golden Knights,home,L,2018-11-29,3,4
Winnipeg Jets,Chicago Blackhawks,home,W,2018-11-29,6,5
Carolina Hurricanes,Anaheim Ducks,home,L,2018-11-30,1,2
Calgary Flames,Los Angeles Kings,home,W,2018-11-30,4,1
Colorado Avalanche,St Louis Blues,home,L,2018-11-30,2,3
Florida Panthers,Buffalo Sabres,home,W,2018-11-30,3,2
Washington Capitals,New Jersey Devils,home,W,2018-11-30,6,3
Arizona Coyotes,St Louis Blues,home,W,2018-12-01,6,1
Boston Bruins,Detroit Red Wings,home,L,2018-12-01,2,4
Edmonton Oilers,Vegas Golden Knights,home,W,2018-12-01,2,1
Florida Panthers,Tampa Bay Lightning,home,L,2018-12-01,4,5
Minnesota Wild,Toronto Maple Leafs,home,L,2018-12-01,3,5
Montreal Canadiens,New York Rangers,home,W,2018-12-01,5,2
New Jersey Devils,Winnipeg Jets,home,L,2018-12-01,3,4
Nashville Predators,Chicago Blackhawks,home,W,2018-12-01,5,2
New York Islanders,Columbus Blue Jackets,home,W,2018-12-01,3,2
Ottawa Senators,San Jose Sharks,home,W,2018-12-01,6,2
Pittsburgh Penguins,Philadelphia Flyers,home,L,2018-12-01,2,4
Vancouver Canucks,Dallas Stars,home,L,2018-12-01,1,2
Chicago Blackhawks,Calgary Flames,home,L,2018-12-02,2,3
Detroit Red Wings,Colorado Avalanche,home,L,2018-12-02,0,2
