Name% Location% Arena%
Burlington Bees%	Burlington, Iowa%	Community Field%
Cedar Rapids Kernels%	Cedar Rapids, Iowa%	Veterans Memorial Stadium%
Clinton LumberKings%	Clinton, Iowa%	NelsonCorp Field%
Kane County Cougars%	Geneva, Illinois%	Northwestern Medicine Field%
Peoria Chiefs%	Peoria, Illinois%	Dozer Park%
Quad Cities River Bandits%	Davenport, Iowa%	Modern Woodmen Park%
Wisconsin Timber Rattlers%	Appleton, Wisconsin%	Neuroscience Group Field at Fox Cities Stadium%
Delmarva Shorebirds%	Salisbury, Maryland%	Arthur W. Perdue Stadium%
Greensboro Grasshoppers%	Greensboro, North Carolina%	Yadkin Bank Park%
Hagerstown Suns%	Hagerstown, Maryland%	Municipal Stadium%
Hickory Crawdads%	Hickory, North Carolina%	L. P. Frans Stadium%
Kannapolis Cannon Ballers[a]%	Kannapolis, North Carolina%	Atrium Health Ballpark%
Lakewood BlueClaws%	Lakewood, New Jersey%	FirstEnergy Park%
West Virginia Power%	Charleston, West Virginia%	Appalachian Power Park%
Asheville Tourists%	Asheville, North Carolina%	McCormick Field%
Augusta GreenJackets%	North Augusta, South Carolina%	SRP Park%
Charleston RiverDogs%	Charleston, South Carolina%	Joseph P. Riley, Jr. Park%
Columbia Fireflies%	Columbia, South Carolina%	Spirit Communications Park%
Greenville Drive%	Greenville, South Carolina%	Fluor Field at the West End%
Lexington Legends%	Lexington, Kentucky%	Whitaker Bank Ballpark%
Rome Braves%	Rome, Georgia%	State Mutual Stadium%
Aberdeen IronBirds%	Aberdeen, Maryland%	Leidos Field at Ripken Stadium%
Brooklyn Cyclones%	New York City (Brooklyn)%	MCU Park%
Hudson Valley Renegades%	Fishkill, New York%	Dutchess Stadium%
Staten Island Yankees%	New York City (Staten Island)%	Richmond County Bank Ballpark%
Auburn Doubledays%	Auburn, New York%	Falcon Park%
Batavia Muckdogs%	Batavia, New York%	Dwyer Stadium%
Mahoning Valley Scrappers%	Niles, Ohio%	Eastwood Field%
State College Spikes%	State College, Pennsylvania%	Medlar Field at Lubrano Park%
West Virginia Black Bears%	Granville, West Virginia%	Monongalia County Ballpark%
Williamsport Crosscutters%	Williamsport, Pennsylvania%	BB&T Ballpark at Historic Bowman Field%
Lowell Spinners%	Lowell, Massachusetts%	Edward A. LeLacheur Park%
Norwich Sea Unicorns[a]%	Norwich, Connecticut%	Senator Thomas J. Dodd Memorial Stadium%
Tri-City ValleyCats%	Troy, New York%	Joseph L. Bruno Stadium%
Vermont Lake Monsters%	Burlington, Vermont%	Centennial Field%
Everett AquaSox%	Everett, Washington%	Everett Memorial Stadium%
Spokane Indians%	Spokane, Washington%	Avista Stadium%
Tri-City Dust Devils%	Pasco, Washington%	Gesa Stadium%
Vancouver Canadians%	Vancouver, British Columbia%	Scotiabank Field at Nat Bailey Stadium%
Boise Hawks%	Boise, Idaho%	Memorial Stadium%
Eugene Emeralds%	Eugene, Oregon%	PK Park%
Hillsboro Hops%	Hillsboro, Oregon%	Ron Tonkin Field%
Salem-Keizer Volcanoes%	Keizer, Oregon%	Volcanoes Stadium%
Bluefield Blue Jays%	Bluefield, West Virginia% Bowen Field at Peters Park%
Burlington Royals%	Burlington, North Carolina%	Burlington Athletic Stadium%
Danville Braves%	Danville, Virginia%	American Legion Field%
Princeton Rays%	Princeton, West Virginia%	H. P. Hunnicutt Field%
Pulaski Yankees%	Pulaski, Virginia%	Calfee Park%
Bristol Pirates%	Bristol, Virginia%	Boyce Cox Field at DeVault Memorial Stadium%
Elizabethton Twins%	Elizabethton, Tennessee%	Joe O'Brien Field%
Greeneville Astros%	Greeneville, Tennessee%	Pioneer Park%
Johnson City Cardinals%	Johnson City, Tennessee%	TVA Credit Union Ballpark%
Kingsport Mets%	Kingsport, Tennessee%	Hunter Wright Stadium%
Billings Mustangs%	Billings, Montana%	Dehler Park%
Great Falls Voyagers%	Great Falls, Montana%	Centene Stadium%
Idaho Falls Chukars%	Idaho Falls, Idaho%	Melaleuca Field%
Missoula Osprey%	Missoula, Montana%	Ogren Park at Allegiance Field%
Grand Junction Rockies%	Grand Junction, Colorado%	Suplizio Field%
Ogden Raptors%	Ogden, Utah%	Lindquist Field%
Orem Owlz%	Orem, Utah%	UCCU Ballpark%
Rocky Mountain Vibes%	Colorado Springs, Colorado%	UCHealth Park%
Chicago Dogs%	Rosemont, Illinois%	Impact Field%
Fargo-Moorhead RedHawks%	Fargo, North Dakota%	Newman Outdoor Field%
Gary SouthShore RailCats%	Gary, Indiana%	U.S. Steel Yard%
Milwaukee Milkmen%	Franklin, Wisconsin%	Routine Field%
St. Paul Saints%	Saint Paul, Minnesota%	CHS Field%
Winnipeg Goldeyes%	Winnipeg, Manitoba%	Shaw Park%
Cleburne Railroaders%	Cleburne, Texas%	The Depot at Cleburne Station%
Kansas City T-Bones%	Kansas City, Kansas%	CommunityAmerica Ballpark%
Lincoln Saltdogs%	Lincoln, Nebraska%	Haymarket Park%
Sioux City Explorers%	Sioux City, Iowa%	Lewis and Clark Park%
Sioux Falls Canaries%	Sioux Falls, South Dakota%	Sioux Falls Stadium%
Texas AirHogs%	Grand Prairie, Texas%	AirHogs Stadium%
Freedom	Lancaster Barnstormers%	Lancaster, Pennsylvania%	Clipper Magazine Stadium%
Maryland Blue Crabs%	Waldorf, Maryland%	Regency Furniture Stadium%
Sugar Land Skeeters	%Sugar Land, Texas%	Constellation Field%
York Revolution%	York, Pennsylvania%	PeoplesBank Park%
Liberty	High Point Rockers%	High Point, North Carolina%	Truist Point%
Long Island Ducks%	Central Islip, New York%	Bethpage Ballpark%
Pennsylvania Road Warriors%	Traveling team	% %
Somerset Patriots%	Bridgewater, New Jersey%	TD Bank Ballpark%
Can-Am	Lake Erie Crushers%	Avon, Ohio%	Sprenger Stadium%
New Jersey Jackals%	Little Falls, New Jersey%	Yogi Berra Stadium%
Québec Capitales%	Quebec City, Quebec%	Stade Canac%
Rockland Boulders%	Pomona, New York%	Palisades Credit Union Park%
Sussex County Miners%	Augusta, New Jersey%	Skylands Stadium%
Trois-Rivières Aigles%	Trois-Rivières, Quebec%	Stade Quillorama%
Washington Wild Things%	Washington, Pennsylvania%	Wild Things Park%
Evansville Otters%	Evansville, Indiana%	Bosse Field%
Florence Y'alls%	Florence, Kentucky%	UC Health Stadium%
Gateway Grizzlies%	Sauget, Illinois%	GCS Ballpark%
Joliet Slammers%	Joliet, Illinois%	DuPage Medical Group Field%
Schaumburg Boomers%	Schaumburg, Illinois%	Boomers Stadium%
Illinois Miners%	Marion, Illinois%	Rent One Park%
Windy City ThunderBolts%	Crestwood, Illinois%	Ozinga Field%
California Dogecoin%	Fairfield, California%	Laurel Creek Park%
Napa Silverados%	Napa, California%	NVC Storm Field%
Sonoma Stompers%	Sonoma, California%	Arnold Field%
Vallejo Admirals%	Vallejo, California%	Wilson Park%
Alpine Cowboys%	Alpine, Texas%	Kokernot Field%
Garden City Wind%	Garden City, Kansas%	Clint Lightner Field%
Roswell Invaders%	Roswell, New Mexico%	Joe Bauman Stadium%
Santa Fe Fuego%	Santa Fe, New Mexico%	Fort Marcy Ballfield%
Trinidad Triggers%	Trinidad, Colorado%	Central Park%
Tucson Saguaros%	Tucson, Arizona%	Amphitheater High School%
Bakersfield Train Robbers%	Bakersfield, California%	Sam Lynn Ballpark%
Martinez Sturgeon%	Martinez, California%	Waterfront Park%
Monterey Amberjacks%	Monterey, California%	Sollectio Park%
San Rafael Pacifics%	San Rafael, California%	Albert Park%
Santa Cruz Seaweed%	Santa Cruz, California%	Harvey West Park%
Wasco Reserve%	Wasco, California%	Wasco Park%
Boston Celtics%	Boston, Massachusetts%	TD Garden%
Brooklyn Nets%	New York City (Brooklyn)%	Barclays Center%
New York Knicks%	New York City (Manhattan)%	Madison Square Garden%
Philadelphia 76ers%	Philadelphia, Pennsylvania%	Wells Fargo Center%
Toronto Raptors%	Toronto, Ontario%	Scotiabank Arena%
Chicago Bulls%	Chicago, Illinois%	United Center%
Cleveland Cavaliers%	Cleveland, Ohio%	Rocket Mortgage FieldHouse%
Detroit Pistons%	Detroit, Michigan%	Little Caesars Arena%
Indiana Pacers%	Indianapolis, Indiana%	Bankers Life Fieldhouse%
Milwaukee Bucks%	Milwaukee, Wisconsin%	Fiserv Forum%
Atlanta Hawks%	Atlanta, Georgia%	State Farm Arena%
Charlotte Hornets%	Charlotte, North Carolina%	Spectrum Center%
Miami Heat%	Miami, Florida%	American Airlines Arena%
Orlando Magic%	Orlando, Florida%	Amway Center%
Washington Wizards%	Washington, D.C.%	Capital One Arena%
Denver Nuggets%	Denver, Colorado%	Pepsi Center%
